Drug,Target(Gene Name),Target(Gene Symbol),Active Indication(Indication Name),Originator Organization,Drug Highest Phase,Drug Approved Country/Location,Approval Date
Elranatamab,BCMA + CD3,"TNFRSF17, CD3E",Relapsed/refractory multiple myeloma | Multiple Myeloma | Relapse multiple myeloma | Smoldering Multiple Myeloma | Bone Marrow Neoplasms,Pfizer Inc.,"Approved, NDA/BLA",US | EU | IS | LI | NO,2023-08-14
Talquetamab,CD3 + GPRC5D,"CD3E, GPRC5D",Plasma cell myeloma refractory | Relapse multiple myeloma | Multiple Myeloma | Bone Marrow Neoplasms | Smoldering Multiple Myeloma,"Janssen Pharmaceuticals, Inc.","Approved, NDA/BLA",US | EU | IS | LI | NO,2023-08-09
Epcoritamab,CD20 + CD3,"MS4A1, CD3E",Mediastinal large B-cell lymphoma | Recurrent Follicular Lymphoma | Refractory Follicular Lymphoma | Diffuse Large B-Cell Lymphoma | High grade B-cell lymphoma | Follicular Lymphoma | Diffuse large B-cell lymphoma recurrent | Large B-cell lymphoma | Indolent B-Cell Non-Hodgkin Lymphoma | Non-Hodgkin Lymphoma | Richter's syndrome | B-cell lymphoma refractory | Mantle-Cell Lymphoma | Marginal Zone B-Cell Lymphoma | Small Lymphocytic Lymphoma | B-Cell Lymphoma | Indolent Non-Hodgkin Lymphoma,Genmab A/S,"Approved, NDA/BLA",US | EU | JP | IS | LI | NO,2023-05-19
Glofitamab,CD20 + CD3,"MS4A1, CD3E",Diffuse large B-cell lymphoma recurrent | Diffuse large B-cell lymphoma refractory | Mediastinal large B-cell lymphoma | Diffuse Large B-Cell Lymphoma | Mantle-Cell Lymphoma | Mantle cell lymphoma refractory | Large B-cell lymphoma | Richter's syndrome | Follicular Lymphoma | Indolent Non-Hodgkin Lymphoma | Marginal Zone B-Cell Lymphoma | Refractory Transformed Follicular Lymphoma to Diffuse Large B-Cell Lymphoma | Primary mediastinal large B-cell lymphoma refractory | Refractory Indolent Adult Non-Hodgkin Lymphoma | Refractory Transformed Indolent B-Cell Non-Hodgkin Lymphoma | B-Cell Lymphoma | Refractory Mature B-Cell Non-Hodgkin Lymphoma | High grade B-cell lymphoma | Non-Hodgkin Lymphoma,F. Hoffmann-La Roche Ltd.,"Approved, NDA/BLA",US | CN | EU | CA | IS | LI | NO,2023-03-25
Teclistamab,BCMA + CD3,"TNFRSF17, CD3E",Multiple Myeloma | Relapse multiple myeloma | Bone Marrow Neoplasms | Dihydropyrimidine Dehydrogenase Deficiency | Smoldering Multiple Myeloma | Hematologic Neoplasms | Relapsed/refractory multiple myeloma | Plasma cell myeloma refractory,Janssen Research & Development LLC,"Approved, NDA/BLA",US | EU | IS | LI | NO,2022-08-23
Cadonilimab,CTLA4 + PD-1,"CTLA4, PDCD1",Uterine Cervical Cancer | Gastroesophageal junction adenocarcinoma | Stomach Cancer | Non-Small Cell Lung Cancer | Hepatocellular Carcinoma | Locally Advanced Cervical Carcinoma | Locally Advanced Gastroesophageal Junction Adenocarcinoma | stomach adenocarcinoma | Metastatic Carcinoma to the Uterine Cervix | Adenocarcinoma | Metastatic gastric adenocarcinoma | HER2-expressing Gastric Adenocarcinoma | Triple Negative Breast Cancer | Advanced cancer | Gastrooesophageal junction cancer | Late gastric cancer | Metastatic Colorectal Carcinoma | RAS mutant Colorectal Cancer | Unresectable Hepatocellular Carcinoma | Colorectal Cancer | Locally Advanced Rectal Carcinoma | Renal Cell Carcinoma | Relapsed Vulvar Cancer | Non-squamous non-small cell lung cancer | HER2 Positive Transitional Cell Carcinoma | Vulvar Neoplasms | Metastatic Microsatellite Stable Colorectal Carcinoma | Advanced Renal Cell Carcinoma | Pancreatic carcinoma non-resectable | Oesophageal squamous cell carcinoma recurrent | Locally Advanced Esophageal Squamous Cell Carcinoma | Metastatic hepatocellular carcinoma | Advanced Lung Non-Small Cell Carcinoma | Metastatic Cervical Carcinoma | Advanced Hepatocellular Carcinoma | Recurrent Cervical Cancer | Nasopharyngeal Carcinoma | Esophageal Squamous Cell Carcinoma | Extensive stage Small Cell Lung Cancer | Small Cell Lung Cancer | Advanced Gastric Adenocarcinoma | Locally Advanced Lung Non-Small Cell Carcinoma | metastatic non-small cell lung cancer | Advanced Malignant Solid Neoplasm | Metastatic Solid Tumor | Melanoma | Tumor of advanced extent | Solid tumor,"Akeso Biopharma Co., Ltd.","Approved, NDA/BLA",CN,2022-06-28
Mosunetuzumab,CD20 + CD3,"MS4A1, CD3E",Follicular Lymphoma | Large B-cell lymphoma | Aggressive B-Cell Non-Hodgkin Lymphoma | Non-Hodgkin's lymphoma refractory | Recurrent Non-Hodgkin Lymphoma | Refractory Aggressive Non-Hodgkin Lymphoma | Indolent B-Cell Non-Hodgkin Lymphoma | Marginal Zone B-Cell Lymphoma | B-Cell Lymphoma | Diffuse Large B-Cell Lymphoma | Refractory Transformed Follicular Lymphoma to Diffuse Large B-Cell Lymphoma | Non-Hodgkin Lymphoma | B-Cell Chronic Lymphocytic Leukemia | B-cell lymphoma refractory | Diffuse large B-cell lymphoma recurrent | High grade B-cell lymphoma | Systemic Lupus Erythematosus | Refractory Follicular Lymphoma,"Genentech, Inc.","Approved, NDA/BLA",US | EU | IS | LI | NO,2022-06-03
Amivantamab-VMJM,EGFR + c-Met,"EGFR, MET",EGFR ex20ins mutation in non-small cell lung cancer | EGFR-mutated non-small Cell Lung Cancer | EGFR exon 19 Deletions Mutant Non-small Cell Lung Cancer | Advanced Lung Non-Small Cell Carcinoma | Small Cell Lung Cancer | EGFR positive non-small cell lung cancer | metastatic non-small cell lung cancer | Laryngeal Cleft | Non-Small Cell Lung Cancer | Metastatic Solid Tumor | Gastrointestinal Neoplasms | Neoplasms | Neoplasm Metastasis | Recurrent Non-Small Cell Lung Cancer | Secondary malignant neoplasm of lung | Esophageal Carcinoma | Stomach Cancer | Colorectal Cancer | Advanced Malignant Solid Neoplasm | EGFR exon 21 Substitution Mutant Non-small Cell Lung Cancer | Metastatic Colorectal Carcinoma,"Genmab BV | Janssen Biotech, Inc.","Approved, NDA/BLA",US | EU | CA | IS | KR | LI | NO,2021-05-21
Blinatumomab,CD19 + CD3,"CD19, CD3E",Precursor B-Cell Lymphoblastic Leukemia-Lymphoma | CD19-positive B-cell Precursor acute lymphoblastic leukemia | Burkitt Lymphoma | Acute Lymphoblastic Leukemia | Pre B-cell acute lymphoblastic leukemia | Philadelphia Chromosome Negative Acute Lymphoblastic Leukemia | CD19-positive B-cell acute lymphoblastic leukemia | Recurrent B Acute Lymphoblastic Leukemia | Refractory B Acute Lymphoblastic Leukemia | Philadelphia positive acute lymphocytic leukaemia | Richter's syndrome | Refractory Indolent Non-Hodgkin Lymphoma | B-Cell Lymphoma | Residual Neoplasm | Adult Acute Lymphocytic Leukemia,"Amgen, Inc.","Approved, NDA/BLA",US | CN | EU | JP | IS | LI | NO,2014-12-03
Ivonescimab,PD-1 + VEGF,"PDCD1, VEGFA","Non-Small Cell Lung Cancer | Squamous cell carcinoma, metastatic | Advanced Lung Non-Small Cell Squamous Carcinoma | Non-squamous non-small cell lung cancer | Squamous non-small cell lung cancer | Advanced Lung Non-Small Cell Carcinoma | PD-L1 positive Non-Small Cell Lung Cancer | EGFR positive Non-squamous non-small cell lung cancer | Metastatic Lung Non-Small Cell Carcinoma | Hepatocellular Carcinoma | Advanced cancer | Gastroesophageal junction adenocarcinoma | Gastrooesophageal junction cancer | stomach adenocarcinoma | Unresectable Hepatocellular Carcinoma | Metastatic Colorectal Carcinoma | Advanced Triple-Negative Breast Carcinoma | Metastatic Triple-Negative Breast Carcinoma | Female Genital Neoplasms | Advanced Endometrial Carcinoma | Neoplasm Metastasis | Ovarian Cancer | Uterine Cervical Cancer | Microsatellite Stable Colorectal Carcinoma | Metastatic Non-Squamous Non-Small Cell Lung Carcinoma | Platinum-Resistant Ovarian Carcinoma | Extensive stage Small Cell Lung Cancer | Advanced Hepatocellular Carcinoma","Akeso Biopharma Co., Ltd.","Approved, NDA/BLA",-,-
Odronextamab,CD20 + CD3,"MS4A1, CD3E",Recurrent Follicular Lymphoma | Refractory Follicular Lymphoma | Diffuse large B-cell lymphoma recurrent | Diffuse large B-cell lymphoma refractory | Aggressive B-Cell Non-Hodgkin Lymphoma | B-Cell Lymphoma | Diffuse Large B-Cell Lymphoma | Follicular Lymphoma | Non-Hodgkin Lymphoma | B-cell lymphoma refractory | B-Cell Chronic Lymphocytic Leukemia | CD20 positive B-Cell Lymphoma | Lymphoid Leukemia,"Regeneron Pharmaceuticals, Inc.","Approved, NDA/BLA",-,-
Tarlatamab,CD3 + DLL3,"CD3E, DLL3",Advanced Lung Small Cell Carcinoma | Extensive stage Small Cell Lung Cancer | Small cell lung cancer recurrent | Small Cell Lung Cancer | Prostate Neuroendocrine Carcinoma,"Amgen, Inc.","Approved, NDA/BLA",-,-
Catumaxomab,CD3 + EpCAM,"CD3E, EPCAM",Advanced gastric carcinoma | Secondary malignant neoplasm of peritoneum | Non-Muscle Invasive Bladder Neoplasms,Neovii Biotech GmbH,"Phase 3,2/3",-,2009-04-20
Alnuctamab,BCMA + CD3,"TNFRSF17, CD3E",Multiple Myeloma | Relapse multiple myeloma | Relapsed/refractory multiple myeloma,Celgene Corp.,"Phase 3,2/3",-,-
Erfonrilimab,CTLA4 + PDL1,"CTLA4, CD274",HER2 positive Gastrooesophageal junction cancer | Advanced Pancreatic Ductal Adenocarcinoma | Anophthalmia With Pulmonary Hypoplasia | Pancreatic Cancer | Advanced Lung Non-Small Cell Squamous Carcinoma | Advanced Bile Duct Carcinoma | HER2 positive Biliary Tract Neoplasms | HER2 Positive Colorectal Cancer | HER2 Positive Solid Tumors | thymic carcinoma | Advanced Esophageal Squamous Cell Carcinoma | Triple Negative Breast Cancer | Breast Cancer | Esophageal Carcinoma | Stomach Cancer | Gastrointestinal Neoplasms | Advanced Malignant Solid Neoplasm | Lymphoma | colon cancer liver metastasis | Colonic Cancer,"Suzhou Alphamab Co., Ltd.","Phase 3,2/3",-,-
Linvoseltamab,BCMA + CD3,"TNFRSF17, CD3E",Relapse multiple myeloma | Plasma cell myeloma refractory | Recurrent Multiple Myeloma | Monoclonal Gammopathy of Undetermined Significance | Smoldering Multiple Myeloma | Chronic Kidney Diseases | Relapsed/refractory multiple myeloma,"Regeneron Pharmaceuticals, Inc.","Phase 3,2/3",-,-
Navicixizumab,DLL4 + VEGF,"DLL4, VEGFA",Platinum-Resistant Fallopian Tube Carcinoma | Platinum-Resistant Ovarian Carcinoma | Primary peritoneal carcinoma | Colorectal Cancer | Ovarian Cancer | Stomach Cancer | Triple Negative Breast Cancer | Fallopian Tube Carcinoma | Peritoneal Neoplasms,"OncoMed Pharmaceuticals, Inc.","Phase 3,2/3",-,-
Rilvegostomig,PD-1 + TIGIT,"PDCD1, TIGIT",Biliary Tract Neoplasms | Advanced Cholangiocarcinoma | Gastroesophageal junction adenocarcinoma | stomach adenocarcinoma | metastatic non-small cell lung cancer | Non-Small Cell Lung Cancer | Metastatic Solid Tumor,AstraZeneca PLC,"Phase 3,2/3",-,-
SI-B001,EGFR + HER3,"EGFR, ERBB3",Adenocarcinoma of Lung | squamous cell lung carcinoma | Non-Small Cell Lung Cancer | Locally Advanced Lung Non-Small Cell Carcinoma | metastatic non-small cell lung cancer | Glandular and Epithelial Neoplasms | Esophageal Squamous Cell Carcinoma | Squamous Cell Carcinoma of Head and Neck | Squamous cell carcinoma of head and neck metastatic | Colorectal Cancer | EGFR-mutated non-small Cell Lung Cancer | Stomach Cancer | Locally Advanced Head and Neck Squamous Cell Carcinoma | Metastatic epithelioma | Gastrooesophageal junction cancer | Uterine Cervical Cancer,"Sichuan Biokin Pharmaceuticals Co.,Ltd","Phase 3,2/3",-,-
Tebotelimab,LAG3 + PD-1,"LAG3, PDCD1",Stomach Cancer | Gastrooesophageal junction cancer | Metastatic HER2 positive gastroesophageal junction cancer | HER2-positive gastric cancer | Advanced Malignant Solid Neoplasm | Cholangiocarcinoma | Hematologic Neoplasms | Non-Small Cell Lung Cancer | Ovarian Cancer | Small Cell Lung Cancer | Uterine Cervical Cancer | HER2 Positive Solid Tumors | Triple Negative Breast Cancer,"MacroGenics, Inc.","Phase 3,2/3",-,-
TNB-383B,BCMA + CD3,"TNFRSF17, CD3E",Multiple Myeloma | Plasma cell myeloma refractory | Relapse multiple myeloma | Immunoglobulin Light-Chain Amyloidosis | Relapsed/refractory multiple myeloma,"TeneoBio, Inc.","Phase 3,2/3",-,-
Volrustomig,CTLA4 + PD-1,"CTLA4, PDCD1",Locally Advanced Head and Neck Squamous Cell Carcinoma | Unresectable Pleural Malignant Mesothelioma | Locally Advanced Cervical Carcinoma | metastatic non-small cell lung cancer | Colorectal Cancer | Microsatellite instability-high cancer | Advanced Malignant Solid Neoplasm | Advanced Cholangiocarcinoma | Biliary Tract Neoplasms | Advanced Bile Duct Carcinoma | Hepatocellular Carcinoma | Gastroesophageal junction adenocarcinoma | Non-Small Cell Lung Cancer | Soft Tissue Sarcoma | Sarcoma | Solid tumor | HER2 Positive Gastroesophageal Adenocarcinoma | Metastatic HER2 positive gastroesophageal junction cancer,MedImmune LLC,"Phase 3,2/3",-,-
PM-8002,PDL1 + VEGF-A,"CD274, VEGFA","Advanced Lung Non-Small Cell Squamous Carcinoma | Locally Advanced Lung Non-Squamous Non-Small Cell Carcinoma | Metastatic Lung Non-Small Cell Carcinoma | Extensive stage Small Cell Lung Cancer | Small Cell Lung Cancer | EGFR positive Non-squamous non-small cell lung cancer | Metastatic Non-Squamous Non-Small Cell Lung Carcinoma | Neuroendocrine Tumors | Hepatocellular Carcinoma | Mesothelioma, Malignant | Unresectable Hepatocellular Carcinoma | Triple Negative Breast Cancer | Advanced Malignant Solid Neoplasm","Pumis Biotechnology (Zhuhai) Co., Ltd.","Phase 3,2/3",-,-
TR-009,DLL4 + VEGF-A,"DLL4, VEGFA",Carcinoma of ampulla of Vater | Cholangiocarcinoma | Gallbladder Carcinoma | Colonic Cancer | Metastatic Colorectal Carcinoma | Rectal Cancer | Unresectable Colorectal Carcinoma | Neoplasms | Ovarian Cancer,"ABL Bio, Inc.","Phase 3,2/3",-,-
Acasunlimab,4-1BB + PDL1,"TNFRSF9, CD274",Advanced Endometrial Carcinoma | Non-Small Cell Lung Cancer | Endometrial Carcinoma | Malignant Solid Neoplasm | Squamous Cell Carcinoma of Head and Neck | Triple Negative Breast Cancer | Urothelial Carcinoma of the Urinary Bladder | Uterine Cervical Cancer | Advanced Malignant Solid Neoplasm,BioNTech SE,"Phase 1,2",-,-
Acimtamig,CD16a + CD30,"FCGR3A, TNFRSF8",CD30+ Anaplastic Large T-cell Lymphoma | Hodgkin's Lymphoma | Recurrent Hodgkin Lymphoma | Refractory Hodgkin Lymphoma | CD-30 positive Peripheral T-Cell Lymphoma | CD30-Positive Cutaneous T-Cell Lymphoma | Mycosis Fungoides | Peripheral T-Cell Lymphoma,The University of Texas MD Anderson Cancer Center,"Phase 1,2",-,-
AMG-570,BAFF + ICOSLG,"TNFSF13B, ICOSLG",-,"Amgen, Inc.","Phase 1,2",-,-
